职位,公司,规模,薪资,城市,区域,经验,学历,领域,技能,福利
仓库管理员（西岸艺术商店）,新魔力,0-20人,30-65元/时,上海,徐汇区,5-10年,大专,文化艺术/娱乐,"货物验收/入库,库存控制/盘点,熟练使用ERP系统,熟练使用WMS系统","团建聚餐,通讯补贴,节日福利,交通补助,带薪年假,餐补,年终奖"
艺术漆&软装全案合伙人,正瀚建材,0-20人,5-10K,泉州,洛江区,1-3年,高中,进出口贸易,"复式,别墅,普通住宅,熟悉装修材料,客情维护,良好的方案沟通能力,门窗,中央空调,大理石","员工旅游,年终奖,带薪年假,股票期权"
美术（艺术造型专业）、书法专业教师,弘福壹德教育科技公司,0-20人,5-10K·13薪,遂宁,船山区,3-5年,本科,文化艺术/娱乐,"全职,兼职,培训机构,线下教育,线上教育,互联网教育平台使用,数据分析,社群运营,坐班,教师,教学法研发与培训,教学管理,小班教学（3-25人）,成人,学前儿童/小学生,中学生,考级课程,艺考培训,大型教育机构经验,艺术类专业背景,课程/课件研发能力,销售经验,教师资格证,普通话水平测试等级证书,初中,小学,高中","绩效奖金,生日福利,底薪加提成,定期体检,有无线网,交通补助,员工旅游,保底工资,餐补,加班补助,带薪年假,五险一金,团建聚餐,节日福利,包住,工龄奖,通讯补贴,企业年金,年终奖,全勤奖"
艺术学校校区负责人,兆睿教育,20-99人,5-8K,烟台,,1-3年,大专,培训/辅导机构,"销售经验,大型教育机构经验,负责人,教育工作经验,培训机构,线下教育,学前儿童/小学生,普通话发音标准","节日福利,绩效奖金,保底工资,生日福利,加班补助,带薪年假,法定节假日三薪,年终奖,工龄奖,免费工装,全勤奖,员工旅游,团建聚餐,底薪加提成"
蕃茄田艺术课程顾问,中科罗兰教育,20-99人,4-9K,重庆,万州区,3-5年,大专,学前教育,"销售经验,全职工作,教育工作经验,普通话标准,培训机构,有销售经验,线下教育,有大型教育机构经验,有教育工作经验,学前儿童/小学生,小学教育",
Senior Principal/Curator（艺术策划）,UAP,20-99人,30-40K,上海,静安区,10年以上,本科,建筑设计,"公共艺术,画廊,艺术史,艺术文化管理,艺术策划,团队管理,海外留学","五险一金,定期体检,带薪年假,餐补"
艺术老师（音乐舞蹈或播音主持）,娄底市金海高级中学,1000-9999人,5-10K,娄底,娄星区,5-10年,硕士,学校/学历教育,"高中教育,坐班,全职,大型民办教育集团","年终奖,全勤奖,加班补助,五险一金"
公共艺术设计实习生,深圳市蜂巢环境艺...,20-99人,60-120元/天,深圳,福田区,,学历不限,工程施工,"3D动画,手绘动画,短视频,动漫,广告,3ds MAX,AI,MAYA,不接受居家办公,公共艺术雕塑装置游乐","五险一金,定期体检,全勤奖,年终奖,员工旅游"
艺术培训中心营运总监,惠州市惠城区文俪琴行,20-99人,13-18K,惠州,惠城区,1-3年,学历不限,培训/辅导机构,"运营管理,用户运营,校区运营,企业运营,整体运营,TO B,TO C","底薪加提成,绩效奖金,保底工资,五险一金,年终奖"
卫浴、艺术漆、销售导购,永洁卫浴,0-20人,4-8K,金华,,经验不限,学历不限,建筑材料,"电话销售,门店/柜台销售,个人（To C）,面销/陌拜,其他产品/服务,不接受居家办公,无经验要求,批发/零售",
学堡艺术类运营主管,学四堂,100-499人,6-8K,遵义,汇川区,1年以内,本科,培训/辅导机构,"课程销售运营,课程推广,产品运营","零食下午茶,绩效奖金,生日福利,免费工装,补充医疗保险,保底工资,带薪年假,节日福利,团建聚餐"
儿童摄影师-艺术家店,小鬼当佳,500-999人,8-12K,南京,建邺区,1-3年,学历不限,生活服务（O2O）,"摄影,儿童摄影,婚纱/写真摄影,棚拍,实景拍摄,外景拍摄","员工旅游,零食下午茶,定期体检,节日福利,五险一金,带薪年假"
哆画艺术全职美术教师,哆画美术,20-99人,6-11K,厦门,海沧区,经验不限,大专,培训/辅导机构,"教研,教师,小学教育,学前教育,教师资格证,全职,线下授课,美术","年终奖,节日福利,交通补助,加班补助,住房补贴,员工旅游,补充医疗保险,全勤奖"
艺术品证劵分析师,腾涛雅院,0-20人,15-23K,天津,河东区,5-10年,本科,其他专业服务,艺术品证券分析师,"有无线网,五险一金"
蕃茄田艺术招募美术老师,时壹教育,100-499人,6-8K,抚州,临川区,1-3年,大专,培训/辅导机构,"绘画教师,素描教师,儿童画教师,艺术,美术,全职,兼职","保底工资,股票期权,绩效奖金,团建聚餐,生日福利,员工旅游,工龄奖,节日福利,交通补助,定期体检,底薪加提成,年终奖,有无线网,五险一金,零食下午茶,带薪年假,通讯补贴"
艺术设计类图书文字编辑,华文智赢,20-99人,4-6K,天津,,1-3年,本科,新闻/出版,"文字编辑,图书编辑","五险一金,全勤奖,节日福利"
中国艺术品部高级经理,鼎天国际,20-99人,4-8K,天津,,经验不限,硕士,文化艺术/娱乐,"商务渠道,市场开发,艺术品","员工旅游,包吃,带薪年假,五险一金,补充医疗保险"
少儿艺术课程顾问,松鼠妈咪艺术培训,100-499人,5-6K,扬州,广陵区,1-3年,大专,培训/辅导机构,"五险一金,餐补,交通补助,话补,年终奖,全勤奖",
艺术培训学校前台,艾柯特语言戏剧表演,0-20人,2-3K,白城,洮北区,经验不限,大专,培训/辅导机构,"考勤管理,普通话标准,熟悉办公软件操作,亲和力强",
艺术涂料油漆工,凯琳瑟新材料有限公司,20-99人,6-11K,佛山,顺德区,1-3年,初中及以下,建筑材料,水性涂料,"住房补贴,全勤奖,五险一金,节日福利,年终奖,零食下午茶"
广东格式装饰文化...招聘油漆工,广东格式装饰文化...,100-499人,3-8K,佛山,顺德区,经验不限,学历不限,建筑材料,"油漆工学徒,有学徒经验,月结,不包吃住","员工旅游,带薪年假,五险一金"
城郊大津装饰材料...招聘油漆工,城郊大津装饰材料...,0-20人,3-8K,广州,从化区,经验不限,学历不限,装修装饰,"绩效奖金,全勤奖",
少儿艺术培训校长,郴州市苏仙区点睛...,0-20人,6-11K,郴州,苏仙区,1-3年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,教师资格证,团队管理经验,校区运营经验,销售经验",
艺术培训机构前台,安阳市涵美文化传媒,0-20人,2-3K,安阳,文峰区,1-3年,大专,培训/辅导机构,"接待/外联,普通话标准,熟悉办公软件操作,亲和力强",
招引文化传播招聘西餐厨师,招引文化传播,0-20人,4-8K,深圳,南山区,5-10年,学历不限,餐饮,"熟悉各类菜系,5年以上,包住,自主研发新菜,3-5年,主厨,八小时工作制,51-150平米,包吃,151-300平米,季节菜单设计,月休四天,五险","员工旅游,加班补助,五险一金,带薪年假,包吃"
艺术培训机构校长,麦咭文化艺术,20-99人,10-15K,太原,小店区,3-5年,大专,培训/辅导机构,校区运营,
艺术类培训课程顾问,沐彤,20-99人,3-4K,邯郸,丛台区,1-3年,学历不限,培训/辅导机构,"有销售背景,教育工作经验,培训机构,线下教育,学前儿童/小学生,全职","生日福利,加班补助,保底工资,夜班补助,团建聚餐,绩效奖金,年终奖,带薪年假,工龄奖,节假日加班费,股票期权,底薪加提成,零食下午茶,节日福利,员工旅游,免费工装,全勤奖"
艺术品销售月薪轻松过万,合肥禾山,0-20人,6-11K,合肥,蜀山区,经验不限,高中,文化艺术/娱乐,"无经验要求,个人（To C）,其他产品/服务","带薪年假,五险,团建聚餐,员工旅游,节日福利"
艺术留学作品集导师,美世教育,500-999人,12-24K,北京,朝阳区,经验不限,硕士,在线教育,"插画,纯艺,艺术留学作品集","年终奖,通讯补贴,带薪年假,节日福利,零食下午茶,五险一金"
线下美陈3D设计（装置艺术),Brand Head,100-499人,15-30K·13薪,北京,朝阳区,3-5年,本科,广告营销,"空间设计,IP美陈展,装置艺术","带薪年假,零食下午茶,海外团建,节日福利,年终奖,定期体检,员工旅游"
T11艺术教育学院·招生老师,河南柠檬教育,100-499人,4-5K,新乡,卫滨区,经验不限,学历不限,培训/辅导机构,课程顾问,"五险一金,全勤奖,股票期权,带薪年假,员工旅游,交通补助"
游戏原画艺术家（场景&UI）独立游戏,波浪科技,20-99人,10-15K,北京,海淀区,3-5年,学历不限,游戏,"游戏设计,独立游戏,原画,场景原画,PhotoShop,全职","定期体检,年终奖,五险一金,带薪年假,餐补"
雕塑/艺术装置概念深化设计师,八零雕塑,20-99人,5-10K·24薪,重庆,九龙坡区,3-5年,大专,文化艺术/娱乐,雕塑/艺术深化设计,"底薪加提成,工龄奖,通讯补贴,五险"
少儿人文艺术游学带课老师,鹿知山文创,0-20人,120-500元/天,杭州,西湖区,经验不限,本科,旅游/景区,"兼职,培训机构,不坐班,小班教学（3-25人）,学前儿童/小学生,艺术人文,摄影师,研学游学","住房补贴,加班补助,带薪年假,年终奖,全勤奖,员工旅游,定期体检"
深圳 艺术展览 西语翻译,艺成文设,0-20人,100-200元/天,深圳,福田区,,本科,文化艺术/娱乐,"活动策划,授课教学,译文校对,全职,兼职,坐班,期刊论文","团建聚餐,补充医疗保险,餐补,工龄奖,意外险,加班补助,年终奖,法定节假日三薪,定期体检,底薪加提成,带薪年假,夜班补助,企业年金,节假日加班费,保底工资,员工旅游,零食下午茶,绩效奖金,五险一金,全勤奖"
艺术考研图书编辑（艺术学基础）,六艺传媒,0-20人,5-10K,济南,市中区,经验不限,硕士,新闻/出版,教育专业背景,五险一金
艺术写真网销+不打电话+无责3000,美人赋,100-499人,8-12K,成都,金牛区,1年以内,高中,婚庆/摄影,"个人（To C）,售前服务,客户签约,销售经验,沟通能力强,网络销售","补充医疗保险,零食下午茶,员工旅游,全勤奖,带薪年假,节日福利"
莫兰迪艺术漆招聘店长，销售经理,莫兰迪,0-20人,5-10K,宣城,宣州区,1-3年,高中,其他生活服务,"个人（To C）,房地产销售经验,电话销售经验,面销/陌拜经验,O2O,房地产,批发/零售,招商/商户拓展类服务,电话销售,网络销售,面销/陌拜,敢于挑战高薪，挣钱快乐",
急聘带货主播（艺术品）,东萃文化传播,1000-9999人,3-8K,四平,铁东区,1年以内,中专/中技,电子商务,"弹性工作制,抖音","年终奖,节日福利,有无线网,带薪年假,通讯补贴,底薪加提成,全勤奖,员工旅游,绩效奖金,团建聚餐"
长春实习艺术生，街头表演生兼职,吉林实时热网络技术,0-20人,100-200元/天,长春,朝阳区,,学历不限,游戏,"全职兼职均可,中国舞,音乐,美术","有无线网,团建聚餐,零食下午茶,底薪加提成,绩效奖金"
美术教师/杨梅红艺术教育,尚美绘,20-99人,4-8K,桂林,七星区,经验不限,本科,培训/辅导机构,"教师,小学教育,美术,线下授课,全职","餐补,团建聚餐,零食下午茶,工龄奖,生日福利,全勤奖,绩效奖金,带薪年假,节日福利,员工旅游,五险一金,定期体检"
艺术类老师（播音主持、大语文）,舜远文化,20-99人,3-4K,聊城,东阿县,经验不限,大专,培训/辅导机构,"教师,书法,教育培训,素质教育,集体授课,教研,助教",
艺术教师和课程推广合伙人,河南深美教育有限公司,20-99人,5-6K,濮阳,华龙区,1-3年,学历不限,在线教育,"全职,兼职,培训机构,线下教育,线上教育,社群运营,视频、音频剪辑,视频拍摄与录制,不坐班,小班教学（3-25人）,中学生,学前儿童/小学生,成人,特长兴趣类,口才/播音主持类,舞蹈类,美术类,艺术类专业背景,大型教育机构经验,社群运营经验,销售经验","带薪年假,员工旅游,全勤奖,年终奖,五险一金,加班补助,节日福利"
公共艺术/艺术装置/景观/建筑方向实习生,浙江紫桐叶数艺文...,0-20人,100-150元/天,丽水,,,本科,文化艺术/娱乐,"公共建筑/空间,文化旅游景区,雕塑设计,照明设计,建筑与景观设计,方案设计,配合施工,施工图出图,负责驻场,3ds Max,AI,AutoCAD,有主创设计师经验,环艺设计专业","生日福利,带薪年假,员工旅游,年终奖,节假日加班费,节日福利,五险一金,绩效奖金"
海南非遗艺术馆运营主管,涵逸生活,0-20人,5-8K,海口,龙华区,3-5年,大专,电子商务,"销售运营,门店运营,线下运营,线下活动运营,商家运营,产品运营,活动运营,公众号运营","股票期权,五险一金,年终奖,带薪年假"
文案/艺术/创意策划（景观、水景、水秀）,一恺科技,20-99人,8-13K,杭州,拱墅区,1-3年,本科,其他行业,"景观园林设计师,方案设计,创意策划","免费工装,宿舍有空调,通讯补贴,带薪年假,零食下午茶,节日福利,餐补,保底工资,交通补助,底薪加提成,五险一金"
珠宝艺术产品设计师,小行星陨石珠宝,0-20人,7-12K,合肥,蜀山区,经验不限,本科,电子商务,"手镯/手链,戒指,项链/吊坠,矿物宝玉石材料,艺术品设计,工艺美术,首饰设计","全勤奖,年终奖,节日福利"
采购工程师（软装/家具/艺术品）,翟珈艺术设计事务所,20-99人,10-15K,上海,徐汇区,5-10年,大专,装修装饰,"国内采购,家居用品,建筑材料,成品/样品,原材料","带薪年假,定期体检,五险一金,年终奖,餐补"
纯艺术作品集老师,北京达群未来文化传播,100-499人,10-15K,北京,朝阳区,1-3年,硕士,培训/辅导机构,兼职,"五险一金,全勤奖,团建聚餐,底薪加提成,员工旅游,保底工资,绩效奖金,带薪年假"
嗨小蜗招聘店员/营业员,嗨小蜗,1000-9999人,7-12K,西安,碑林区,经验不限,大专,在线教育,"不需要长时间站立,接受无店员经验,不需要倒班,不需要晚班/夜班","五险一金,住房补贴,通讯补贴,交通补助,节日福利,年终奖,带薪年假,员工旅游,加班补助,零食下午茶"
电脑艺术设计教师丨平面广告设计,运城学苑电脑学校,0-20人,4-8K,运城,,经验不限,大专,培训/辅导机构,"设计师,美工,CorelDRAW,CAD,网页设计,PhotoShop",
少儿艺术班主任无责底薪5K,西安市碑林区睿欣...,100-499人,5-8K,西安,碑林区,1-3年,大专,培训/辅导机构,"培训机构,线下教育,小班教学（3-25人）,学前儿童/小学生,不授课,大型教育机构经验,销售经验,坐班","生日福利,团建聚餐,绩效奖金,节日福利,带薪年假,保底工资,有无线网,工龄奖,底薪加提成"
濮阳市各地区招聘艺术类辅导老师,智贤笃学,20-99人,3-6K,濮阳,华龙区,经验不限,大专,培训/辅导机构,"家教,小学教育,初中教育,音乐,艺术,舞蹈,美术,兼职",
留学咨询顾问（艺术或音乐方向）,美行思远,100-499人,11-20K,北京,朝阳区,经验不限,本科,在线教育,"全职工作,获客招生,美国,英国,法德意,有留学背景,海外留学背景,艺术留学,音乐留学,课程顾问,留学咨询","年终奖,五险一金,带薪年假,节日福利,零食下午茶"
平面视觉设计 艺术设计 商业品牌设计,空间印象,100-499人,4-8K·14薪,珠海,香洲区,经验不限,本科,建筑设计,"商业地产,平面设计,广告设计,视觉设计,设计师,美术设计师,美术指导","零食下午茶,五险一金,包吃,带薪年假,员工旅游,节日福利,定期体检"
摄影师（宝宝照、全家福照、艺术照）,韩孕社,500-999人,7-9K,成都,锦江区,1-3年,学历不限,婚庆/摄影,"摄影,儿童摄影,婚纱/写真摄影,证件照摄影,棚拍,实景拍摄,摄影工作室,婚庆公司/活动公司,擅长布光,沟通能力良好,适应各类拍摄条件","保底工资,意外险,生日福利,带薪年假,团建聚餐,零食下午茶,底薪加提成,节日福利,有无线网,包住,全勤奖,加班补助,年终奖,节假日加班费,绩效奖金,员工旅游,法定节假日三薪,五险一金,补充医疗保险,股票期权"
一个月上八天班的艺术老师,唐山市开平区星悠...,0-20人,2-4K,唐山,,1-3年,本科,培训/辅导机构,"全职,兼职,培训机构,线下教育,坐班,教师,小班教学（3-25人）,成人,学前儿童/小学生,中学生,儿童画,水彩/水粉画,素描,大型教育机构经验,艺术类专业背景,销售经验,教师资格证,小学,二级甲等",
钢琴、声乐教师及各文化艺术合伙人,肖帮琴行,0-20人,5-6K,朔州,怀仁市,1-3年,大专,批发/零售,"音乐,教师,培训机构",
教育/会计/艺术/计算机/工业化工•期刊编辑,瀚智海,100-499人,15-22K,成都,武侯区,1-3年,硕士,培训/辅导机构,"兼职,按件计费,学术期刊编辑,核心,SCI","保底工资,零食下午茶,意外险,带薪年假,全勤奖,团建聚餐,底薪加提成,绩效奖金,餐补,年终奖,补充医疗保险"
蕃茄田艺术课程顾问-徐汇绿地缤纷城店,藩小创,100-499人,10-15K,上海,徐汇区,3-5年,高中,培训/辅导机构,"培训机构,线下教育,营销相关专业,有大型教育机构经验,有销售经验,美术机构,全国连锁","年终奖,法定节假日三薪,五险一金,绩效奖金,保底工资,底薪加提成"
艺术综合体培训学校执行校长,伊梵诺艺术,0-20人,12-24K,北京,朝阳区,5-10年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,成人/通用,校区运营经验,教育专业背景,营销/管理类背景,销售经验","带薪年假,绩效奖金,五险一金,生日福利,底薪加提成,免费工装,保底工资,有无线网"
建材销售专员（艺术漆）月薪过万,雅诗涂装饰,20-99人,10-15K,贵阳,观山湖区,1年以内,高中,建筑材料,"面销/陌拜经验,网络营销经验,电话销售经验,企业（To B）,其他行业,房地产,环保,招商/商户拓展,网络销售,电话销售,面销/陌拜,不接受居家办公","加班补助,绩效奖金,交通补助,带薪年假,通讯补贴,底薪加提成,节日福利,零食下午茶,全勤奖,员工旅游,团建聚餐,年终奖,五险一金,生日福利"
幼儿教师/艺术助教 /接受实习生,小玩皮之星,20-99人,70-140元/天,深圳,,,学历不限,培训/辅导机构,"全职,培训机构,线下教育,坐班,助教,教务,课程销售,小班教学（3～25人）,兴趣教育类,学科教育类,教学法类,素质能力类,舞蹈类,美术类,学习力/专注力,蒙式教学,奥尔夫音乐教育,教学法相关经验,幼儿教育工作经验,艺术类专业背景,销售经验,保育员资格证,幼师资格证,普通话水平测试等级证书,二级甲等,艺术 辅导",
大型艺术机构学习管理师,曼影艺辉,100-499人,4-7K,石家庄,桥西区,1年以内,学历不限,培训/辅导机构,"私立学校,培训机构,线下教育,小班教学（3-25人）,学前儿童/小学生,不授课,大型教育机构经验,熟练使用办公软件,普通话发音标准,销售经验,坐班",
佛山市顺德区勒流德艺艺术中心,佛山市顺德区勒流...,0-20人,6-7K,佛山,顺德区,1-3年,本科,培训/辅导机构,"销售经验,表演/播音主持相关专业背景,全职兼职均可,青少年,表演教学经验,普通话一级甲等资格证,不坐班,线下教育,编排成品剧目",
